String,Introduced,WHOIS Directory Service,Contacts
.drive,2015,https://whois.nic.drive/,"Charleston Road Registry;Charleston Road Registry Inc.;1600 Amphitheatre Parkway;Mountain View, California 94043;US;Tel: 1 650 253 0000;Fax: 1 650 253 0001;Email: registry-poc-primary@google.com;www.registry.google"
.dtv,2015,https://whois.nic.dtv/,"Dish DBS Corporation;9601 S. Meridian Boulevard;Englewood, Colorado 80112;US;Tel: (303) 723-1000;Fax: (303) 723-1699;Email: ngtld-dtv@cscglobal.com;http://nic.dtv"
.dubai,2015,https://whois.nic.dubai/,"Mr. Matar AlHumairi;Dubai Smart Government;HH Ruler's Court, AlFahidi Street, Bastakiya Heritage AreaP.O.Box 90300;Dubai, Dubai 90300;AE;Tel: +97143533334;Fax: +97143532988;Email: matar.alhumairi@dsg.gov.ae;http://www.dsg.gov.ae"
.duck,2015,http://whois.nic.duck/,"Johnson Shareholdings, Inc.;1521 Howe Street;Racine, Wisconsin 53403;US;Tel: +1 262 260 2620;http://nic.duck"
.dunlop,2015,https://whois.nic.dunlop/,"The Goodyear Tire & Rubber Company;1144 East Market Street;Akron, Ohio 44316-0001;US;Tel: +1 330 796 2121;Fax: +1 330 796 2222;Email: ngtld-goodyear@cscglobal.com;http://nic.dunlop"
.duns,2015,https://whois.nic.duns/,"The Dun & Bradstreet Corporation;103 JFK Parkway;Short Hills, New Jersey 07078;US;Tel: +1 973 921 5500;Fax: +1 866 608 3587;Email: mercert@dnb.com;http://ww.dnb.com"
.dupont,2015,https://whois.nic.dupont/,"Contact@dupont.com;E. I. du Pont de Nemours and Company;CRP 730/ 2110-8, 974 Centre Road, P.O. Box 2915;Wilmington, Delaware 19805;US;Tel: (302) 992-2941;Fax: (302) 992-3165;Email: contact@dupont.com;http://www.dupont.com"
.durban,2014,https://whois.nic.durban/,"Neil Dundas;ZA Central Registry (NPC);COZA House, Gazelle Close, Corporate Park;Midrand, Gauteng 1685;ZA;Tel: +27 11 314 0077;Fax: +27 11 314 0088;Email: info@registry.net.za;http://www.registry.net.za"
.dvag,2014,https://whois.nic.dvag/,"Deutsche Vermögensberatung Aktiengesellschaft DVAG;Münchener Strasse 1;Frankfurt am Main, Hesse 60329;DE;Tel: +49.6923840;Email: mail@dvag-registry.de;http://www.dvag-registry.de"
.dvr,2016,https://whois.nic.dvr/,"Hughes Satellite Systems Corporation;100 Inverness Terrace East;Englewood, Colorado 80112;US;Tel: (303) 706-4000;Fax: (301) 428-2818;Email: echostarnewgtlds@cscinfo.com;http://nic.dvr"
.earth,2014,https://whois.nic.earth/,"Jacob Williams;Interlink Co., Ltd.;Sunshine 60 Bldg. 37th Fl. 3-1-1Higashi Ikebukuro;Toshima, Tokyo 170-6037;JP;Tel: +81 3 3983 9422;Fax: +81 3 3895 3826;Email: gtld@interlink.ad.jp;http://www.interlink.or.jp/"
.eat,2014,https://whois.nic.eat/,"Charleston Road Registry, Inc.;Charleston Road Registry, Inc. (d/b/a Google Registry);1600 Amphitheatre Pkwy;Mountain View, CA 94043;US;Tel: 1 650 253 0000;www.registry.google"
.eco,2016,https://whois.nic.eco/,"Big Room Inc.;332-237 Keefer Street;Vancouver, BC V6A 1X6;CA;Tel: +1 604 682 6673;http://www.bigroom.ca"
.edeka,2014,https://whois.nic.edeka/,"EDEKA Verband kaufmännischer Genossenschaften e.V.;New-York-Ring 6;Hamburg, Hamburg 22297;DE;Tel: +49 4063770;Fax: +49 4063773140;Email: edeka@dotzon.com;http://www.nic.edeka"
.education,2013,http://whois.nic.education/,"Brice Way, LLC;Brice Way, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.email,2013,http://whois.nic.email/,"Spring Madison, LLC;Spring Madison, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.emerck,2014,https://whois.nic.emerck/,"Merck KGaA;Frankfurter Strasse 250;Darmstadt, Hesse 64293;DE;Tel: +496151720;Fax: +496151722000;Email: registry@emerck.com;http://registry.emerck.com"
.energy,2014,http://whois.nic.energy/,"Donuts Inc.;Binky Birch, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: (424) 254-8537;Fax: (425) 671-0020;Email: info@donuts.email;http://www.donuts.domains"
.engineer,2014,https://whois.nic.engineer/,"United TLD Holdco Ltd.;United TLD Holdco Ltd.;One Clarendon row;Dublin, 2;IE;Tel: 00353 1 9012188;Fax: 00353 1 9012199;Email: publiccontact@rightside.co;http://www.rightside.co"
.engineering,2014,http://whois.nic.engineering/,"Romeo Canyon (Donuts Inc.);Romeo Canyon;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.enterprises,2013,http://whois.nic.enterprises/,"Snow Oaks, LLC;Snow Oaks, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.epost,2015,https://whois.nic.epost/,"Deutsche Post AG;Charles-de-Gaulle-Straße 20;Bonn, NRW 53113;DE;Tel: +49 228 1820;Fax: +49 228 18296799;Email: newgtlds.w.karagiannaki@deutschepost.de;https://www.dpdhl.com/de"
.epson,2014,https://whois.nic.epson/,"Seiko Epson Corporation;4-1 Nishishinjuku 2-chome;Shinjuku-ku, Tokyo 163-0811;JP;Tel: +81 3 5521 0107;Email: nakagawa_12@brights.jp;http://www.epson.jp/"
.equipment,2013,http://whois.nic.equipment/,"Corn Station, LLC;Corn Station, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.ericsson,2015,http://whois.nic.ericsson/,"Ericsson;Torshamnsgatan 23;Stockholm, n/a SE-164 83;SE;Tel: +46 10 719 0000;http://nic.ericsson"
.erni,2014,https://whois.nic.erni/,"Tobias Ackermann;ERNI Group Holding AG;Bahnhofstrasse 4;Baar, Zug 6340;CH;Tel: +41 41 227 35 00;Fax: +41 41 227 35 10;Email: erni-tld@erni.ch;nic.erni"
.esq,2014,https://whois.nic.esq/,"Charleston Road Registry Inc.;Charleston Road Registry, Inc. (d/b/a Google Registry);1600 Amphitheatre Parkway;Mountain View, California 94043;US;Tel: 1 650 253 0000;Fax: 1 650 253 0001;Email: registry-poc-primary@google.com;www.registry.google"
.estate,2013,http://whois.nic.estate/,"Trixy Park, LLC;Trixy Park, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.esurance,2015,https://whois.nic.esurance/,"Esurance Insurance Company;650 Davis Street;San Francisco, California 94111;US;Tel: (415) 875-4500;Fax: (415) 875-4751;Email: ngtld-esurance@cscglobal.com;http://nic.esurance"
.etisalat,2015,https://whois.nic.etisalat/,"Emirates Telecommunications Corporation (trading as Etisalat);Etisalat A Building (intersection of Sheikh Zayed II Street and Sheikh Rashid Bin Saeed Al Maktoum Street)PO Box 3838;Abu Dhabi, AE NA;AE;Tel: +971 2 628 3333;Fax: +971 2 639 1000;Email: tas-etisalat-primary@centralnic.com;http://www.etisalat.com"
.eurovision,2014,https://whois.nic.eurovision/,"European Broadcasting Union (EBU);European Broadcasting Union (EBU);L'Ancienne-Route 17A Case postale 45;Grand-Saconnex, Geneva 1218;CH;Tel: +41 22 717 2111;Fax: +41 22 747 4000;Email: artero@eurovision.net;http://www.ebu.ch"
.eus,2013,https://whois.nic.eus/,"PuntuEus Fundazioa;PuntuEus Fundazioa;Arriola 2;Donostia, Gizpuzkoa 20018;ES;Tel: 34 665770945;http://www.puntueus.org/"
.events,2013,http://whois.nic.events/,"Pioneer Maple, LLC;Pioneer Maple, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.everbank,2014,https://whois.nic.everbank/,"EverBank;EverBank;501 Riverside Avenue;Jacksonville, Florida 32202;US;Tel: (904) 623-8369;Fax: none;Email: whois@everbank.com;https://www.everbank.com"
.exchange,2014,http://whois.nic.exchange/,"Spring Falls, LLC (Donuts Inc.);Spring Falls, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.expert,2013,http://whois.nic.expert/,"Magic Pass, LLC;Magic Pass, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.exposed,2013,http://whois.nic.exposed/,"Victor Beach, LLC;Victor Beach, LLC Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.express,2015,https://whois.nic.express/,"Donuts Inc.;Sea Sunset, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.extraspace,2015,https://whois.nic.extraspace/,"Extra Space Storage LLC;2795 E. Cottonwood ParkwaySuite 400;Salt Lake City, Utah 84121;US;Tel: +01 801 365 4501;Fax: +01 801 365 4801;Email: extraspaceregistry@fairwindspartners.com;http://www.extraspace.com"
.fage,2014,https://whois.nic.fage/,"FAGE International S.A.;5 rue du Kiem;Luxembourg, Grand Duchy of Luxembourg L-1857;LU;Tel: +352 2704 8872;Email: ngtld-fage@cscinfo.com;www.fage.eu"
.fail,2014,http://whois.nic.fail/,"Atomic Pipe, LLC (Donuts Inc.);Atomic Pipe, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.fairwinds,2014,https://whois.nic.fairwinds/,"FairWinds Partners, LLC;1000 Potomac Street Northwest, Suite 350;Washington, District of Columbia 20007;US;Tel: +01 202 223 9252;http://nic.fairwinds"
.faith,2014,https://whois.nic.faith/,"dot Faith Limited;dot Faith Limited;6A Queensway;Gibraltar, Gibraltar GX11 1AA;GI;Tel: +350 216 50000;Fax: +350 200 510 71;Email: icanntas46@famousfourmedia.com;www.famousfourmedia.com"
.family,2015,http://whois.nic.family/,"United TLD Holdco Ltd.;One Clarendon Row;Dublin, 2;IE;Tel: 00353 1 9012188;Fax: 00353 1 9012199;Email: publiccontact@rightside.co;http://www.rightside.co"
.fan,2014,http://whois.nic.fans/,"Asiamix Digital Limited;Unit 15, 1/F, Block 2, Office Building, 96 Siena Avenue;Discovery Bay North, N/A N/A;HK;Tel: +442036372155;Fax: +442036372194;Email: info@dotfans.net;http://www.dotfans.net"
.fans,2014,http://whois.nic.fans/,"Asiamix Digital Limited;Unit 15, 1/F, Block 2, Office Building, 96 Siena Avenue;Discovery Bay North, N/A N/A;HK;Tel: +442036372155;Fax: +442036372194;Email: info@dotfans.net;http://www.dotfans.net"
.farm,2013,http://whois.nic.farm/,"Just Maple, LLC;Just Maple, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.farmers,2015,https://whois.nic.farmers/,".Farmers Abuse – MarkMonitor Inc.;Farmers Insurance Exchange;6301 Owensmouth Avenue, 3rd Floor;Woodland Hills, California 91367;US;Tel: (818) 965-0007;Email: dotfarmers@markmonitor.com;http://www.farmers.com"
.fashion,2014,https://whois.nic.fashion/,"Minds + Machines Group Limited;32 Nassau Street;Dublin, . 2;IE;Tel: +353 (0)1 677 8933;mm-registry.com"
.fast,2014,https://whois.nic.fast/,"Amazon Registry Services, Inc.;410 Terry Avenue North;Seattle, WA 98109;US;Tel: +12062661000;Fax: +12069467702;Email: contactfast@amazon.com;http://www.nic.fast"
.fedex,2015,https://whois.nic.fedex/,"Federal Express Corporation;3610 Hacks Cross Road;Memphis, Tennessee 38125;US;Tel: (901) 369-3600;Fax: (800) 548-3020;Email: ngtld-fedex@cscglobal.com;http://nic.fedex"
.feedback,2013,https://whois.nic.feedback/,"Jay Westerdal;Top Level Spectrum, Inc.;1845 W Mercer Way;Mercer Island, WA 98040;US;Tel: (206) 397-8825;Fax: (206) 238-1232;Email: contact@topspectrum.com;www.nic.feedback"
.ferrari,2015,https://whois.nic.ferrari/,"Fiat Chrysler Automobiles N.V.;25 St. James's Street;London, n/a SW1A 1HA;GB;Tel: +44 207 766 0311;www.fcagroup.com"
.ferrero,2014,https://whois.nic.ferrero/,"Ferrero Trading Lux S.A.;Rue de Trèves, Findel Business CenterComplexe B;Findel, Luxembourg L-2632;LU;Tel: +352 349 711 95 06;http://www.nic.ferrero"
.fiat,2015,http://whois.nic.fiat/,"Fiat Chrysler Automobiles N.V.;25 St. James's Street;London, n/a SW1A 1HA;GB;Tel: +44 207 766 0311;www.fcagroup.com"
.fidelity,2015,https://whois.nic.fidelity/,"Fidelity Brokerage Services LLC;82 Devonshire Street;Boston, Massachusetts 02109;US;Tel: (617) 563-7000;Fax: (617) 692-1699;Email: ngtld-fidelity@cscinfo.com;http://nic.fidelity"
.fido,2015,https://whois.nic.fido/,"Rogers Communications Canada Inc.;333 Bloor Street E;Toronto, ON M4W1G9;CA;Tel: (416) 935-7777;Fax: (416) 935-7627;Email: ngtld-fido@cscglobal.com;http://nic.fido"
.film,2015,https://whois.nic.film/,"The Manager;Motion Picture Domain Registry Pty Ltd;PO Box 33125;Melbourne, Victoria 3004;AU;Tel: +61398663710;Fax: +61398661970;Email: info@nic.film;http://nic.film/"
.final,2014,http://whois.nic.final/,"Núcleo de Informação e Coordenação do Ponto BR - NIC.br;Av Nacoes Unidas, 11541 7o. andar;Sao Paulo, SP 04578-000;BR;Tel: +55 11 5509 3500;Fax: +55 11 5509 3501;Email: gtlds-nic@registro.br;http://www.nic.br"
.finance,2014,http://whois.nic.finance/,"Donuts Inc.;Cotton Cypress, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.financial,2014,http://whois.nic.financial/,"Just Cover, LLC (Donuts Inc.);Just Cover, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.fire,2015,https://whois.nic.fire/,"Amazon Registry Services, Inc.;410 Terry Avenue North;Seattle, WA 98109;US;Tel: (206) 266-1000;Fax: (206) 946-7702;Email: contactfiretld@amazon.com;http://www.nic.fire"
.firestone,2014,https://whois.nic.firestone/,"Bridgestone Licensing Services, Inc;1-1, Kyobashi 3-chome;Chuo-ku, Tokyo 104-8340;JP;Tel: +81 3 5521 0107;Email: nakagawa_08@brights.jp;http://www.bridgestone.co.jp"
.firmdale,2014,https://whois.nic.firmdale/,"Mr Mark Read;Firmdale Holdings Limited;21 Golden Square;LONDON, England W1F 9JN;GB;Tel: +44 20 7581 4045;Fax: +44 20 7581 1867;Email: inforgltd01@firmdale.com;http://www.firmdalehotels.com"
.fish,2013,http://whois.nic.fish/,"Fox Woods, LLC (Donuts, Inc.);Fox Woods, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.fishing,2013,https://whois.nic.fishing/,"Minds + Machines Group Limited;32 Nassau Street;Dublin, Leinster 2;IE;Tel: +353 (0)1 677 8933;mm-registry.com"
.fit,2014,https://whois.nic.fit/,"Minds + Machines Group Limited;32 Nassau Street;Dublin, . 2;IE;Tel: +353 (0)1 677 8933;mm-registry.com"
.fitness,2014,http://whois.nic.fitness/,"Brice Orchard, LLC (Donuts Inc.);Brice Orchard, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.flickr,2015,https://whois.nic.flickr/,"Yahoo! Domain Services Inc.;701 First Avenue;Sunnyvale, California 94089;US;Tel: +44 (0) 20 7421 7790;www.nic.flickr"
.flights,2013,http://whois.nic.flights/,"Fox Station, LLC;Fox Station, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.flir,2015,http://whois.nic.flir/,"Chuck Michel;FLIR Systems, Inc.;27700 Parkway Ave;Wilsonville, Oregon 97070;US;Tel: (978) 901-8289;Fax: 5034983911;Email: chuck.michel@flir.com;http://www.flir.com"
.florist,2013,http://whois.nic.florist/,"Half Cypress, LLC;Half Cypress, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.flowers,2014,https://whois.nic.flowers/,"Uniregistry, Corp.;3-110 Governors Square1361 GT;Grand Cayman, Grand Cayman KY1-1108;KY;Tel: +13457496263;Fax: +13457466263;Email: contact@uniregistry.com;http://www.uniregistry.com"
.fly,2014,https://whois.nic.fly/,"Charleston Road Registry Inc.;Charleston Road Registry, Inc. (d/b/a Google Registry);1600 Amphitheatre Parkway;Mountain View, California 94043;US;Tel: 1 650 253 0000;Fax: 1 650 253 0001;Email: registry-poc-primary@google.com;www.registry.google"
.foo,2014,https://whois.nic.foo/,"Charleston Road Registry, Inc.;Charleston Road Registry, Inc. (d/b/a Google Registry);1600 Amphitheatre Pkwy;Mountain View, CA 94043;US;Tel: 1 650 253 0000;www.registry.google"
.food,2016,https://whois.nic.food/,"Jennifer Wolfe;Lifestyle Domain Holdings, Inc.;9712 Sherrill Blvd.;Knoxville, Tennessee 37932;US;Tel: 0018656942700;Email: jwolfe@dotbrand360.agency;about.food"
.foodnetwork,2015,https://whois.nic.foodnetwork/,"Jennifer Wolfe;Lifestyle Domain Holdings, Inc.;9712 Sherrill Blvd.;Knoxville, Tennessee 37932;US;Tel: 0018656942700;Email: jwolfe@dotbrand360.agency;about.foodnetwork"
.football,2014,https://whois.nic.football/,"Donuts Inc.;Foggy Farms, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.ford,2014,https://whois.nic.ford/,"DNS MGR;Ford Motor Company;One American Road;Dearborn, Michigan 48126;US;Tel: +13133223000;Fax: +13133905011;Email: dnsmgr@ford.com;http://www.ford.com"
.forex,2014,https://whois.nic.forex/,"Chris Muscat;Dotforex Registry Limited;CANNON BRIDGE HOUSE25 DOWGATE HILL;London, London EC4R 2YA;GB;Tel: +44 20 78926888;dotforex.info"
.forsale,2014,http://whois.nic.forsale/,"United TLD Holdco Ltd.;One Clarendon Row;Dublin, 2;IE;Tel: 00353 1 9012188;Fax: 00353 1 9012199;Email: publiccontact@rightside.co;http://www.rightside.co"
.forum,2015,https://whois.nic.forum/,"Fegistry, LLC;1845 West Mercer Way;Mercer Island, Washington 98040;US;Tel: +1 206 8665090;Fax: +1 206 8665090;Email: jay@fegistry.com;www.nic.forum"
.foundation,2013,http://whois.nic.foundation/,"John Dale, LLC;John Dale, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.fox,2015,https://whois.nic.fox/,"FOX Registry, LLC;1211 Avenue of the Americas;New York, New York 10036;US;Tel: +1 212 852 7000;Fax: +1 212 852 7217;http://nic.fox"
.free,2015,https://whois.nic.free/,"Amazon Registry Services, Inc.;410 Terry Avenue North;Seattle, WA 98109;US;Tel: (206) 266-1000;Fax: (206) 946-7702;Email: contactfree@amazon.com;http://www.nic.free"
.fresenius,2015,http://whois.nic.fresenius/,"Fresenius Immobilien-Verwaltungs-GmbH;Else-Kröner-Straße 1;Bad Homburg, Hessen 61352;DE;Tel: +49 6172 608 0;Email: mail@freseniusregistry.com;http://www.freseniusregistry.com"
.frl,2014,https://whois.nic.frl/,"Customer Service;FRL Registry B.V.;Willemskade 3;Leeuwarden, FRL 8911 AW;NL;Tel: +31 587 630 650;Email: info@frlregistry.com;www.frlregistry.com"
.frogans,2013,https://whois.nic.frogans/,"Amaury GRIMBERT;OP3FT;6, Square Mozart;Paris, n/a 75016;FR;Tel: 33 1 53 92 00 40;Fax: 33 1 53 92 28 46;Email: amaury.grimbert@op3ft.org;https://www.op3ft.org"
.frontdoor,2015,https://whois.nic.frontdoor/,"Jennifer Wolfe;Lifestyle Domain Holdings, Inc.;9712 Sherrill Blvd.;Knoxville, Tennessee 37932;US;Tel: 0018656942700;Email: jwolfe@dotbrand360.agency;about.frontdoor"
.frontier,2015,https://whois.nic.frontier/,"Frontier Communications Corporation;Three High Ridge Park;Stamford, Connecticut 06905;US;Tel: 203 614 5178;Fax: 203 614 4651;Email: icanngtld@ftr.com;http://www.ftr.com"
.ftr,2015,https://whois.nic.ftr/,"Frontier Communications Corporation;Three High Ridge Park;Stamford, Connecticut 06905;US;Tel: 203 614 5178;Fax: 203 614 4651;Email: allison.ellis@ftr.com;http://www.ftr.com"
.fujitsu,2015,https://whois.nic.fujitsu/,"Fujitsu Limited;4-1-1 Kamikodanaka, Nakahara-ku;Kawasaki-shi, Kanagawa 211-8588;JP;Tel: +81 3 5521 0107;Fax: +81 3 5521 0117;Email: nakagawa_20@brights.jp;http://www.fujitsu.com/"
.fujixerox,2015,https://whois.nic.fujixerox/,"Xerox DNHC LLC;Xerox Corporation45 Glover Avenue;Norwalk, Connecticut 06856-4505;US;Tel: + 1 203 968 3000;Fax: +1 203 849 2442;Email: xeroxregistries@fairwindspartners.com;http://www.xerox.com/"
.fun,2016,whois.nic.fun,"DotSpace Inc.;F/19, BC1, Ras Al Khaimah FTZ P.O Box # 16113;Ras Al Khaimah, Ras Al Khaimah 16113;AE;Tel: (415) 358-0831;Email: contact@radixregistry.com;www.radix.website"
.fund,2014,http://whois.nic.fund/,"John Castle, LLC (Donuts Inc.);John Castle, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.furniture,2014,http://whois.nic.furniture/,"Donuts Inc.;Lone Fields, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.futbol,2013,http://whois.nic.futbol/,"United TLD Holdco Ltd.;One Clarendon Row;Dublin, 2;IE;Tel: 00353 1 9012188;Fax: 00353 1 9012199;Email: publiccontact@rightside.co;http://www.rightside.co"
.fyi,2015,https://whois.nic.fyi/,"Donuts Inc.;Silver Tigers, LLC;10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.gal,2013,https://whois.nic.gal/,"Asociación puntoGAL;Asociación puntoGAL;Tabernas, 11;A Coruña, Galicia 15701;ES;Tel: +34670226268;http://dominio.gal"
.gallery,2013,http://whois.nic.gallery/,"Sugar House, LLC;Sugar House, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: 14242548537;Fax: 14256710020;Email: info@donuts.email;http://www.donuts.domains"
.gallo,2015,https://whois.nic.gallo/,"Gallo Vineyards, Inc.;600 Yosemite Blvd.;Modesto, California 95354;US;Tel: +1 209 341 3111;Fax: +1 209 573 8520;Email: ngtld-gallo@cscinfo.com;nic.gallo"
.gallup,2015,https://whois.nic.gallup/,"Gallup, Inc.;1001 Gallup Drive;Omaha, Nebraska 68102;US;Tel: (402) 951-2003;http://www.gallup.com"
.game,2015,https://whois.nic.game/,"Uniregistry, Corp.;3-110 Governors Square1361 GT;Grand Cayman, Grand Cayman KY1-1108;KY;Tel: +13457496263;Fax: +13457466263;Email: contact@uniregistry.com;http://www.uniregistry.com"
.games,2015,http://whois.nic.games/,"United TLD Holdco Ltd.;One Clarendon Row;Dublin, 2;IE;Tel: 00353 1 9012188;Fax: 00353 1 9012199;Email: publiccontact@rightside.co;http://www.rightside.co"
.gap,2015,http://whois.nic.gap/,"The Gap, Inc.;2 Folsom Street;San Francisco, California 94105;US;Tel: +1 415 427 0100;http://www.nic.gap"
.garden,2014,https://whois.nic.garden/,"Minds + Machines Group Limited;32 Nassau Street;Dublin, . 2;IE;Tel: +353 (0)1 677 8933;mm-registry.com"
.gbiz,2014,https://whois.nic.gbiz/,"Charleston Road Registry, Inc.;Charleston Road Registry, Inc. (d/b/a Google Registry);1600 Amphitheatre Parkway;Mountain View, California 94043;US;Tel: 1 650 253 0000;Fax: 1 650 253 0001;Email: registry-poc-primary@google.com;www.registry.google"
.gdn,2014,http://whois.nic.gdn/,"Muhammad Kausar Saleem;Joint Stock Company ""Navigation-information systems"" (GDN Registry FZ LLC);Office 107, Dubai Internet City, Postal box 111230 Dubai, UAE.;Dubai, Dubai 111230;AE;Tel: +97142778189;Email: info@nic.gdn;www.nic.gdn"
.gea,2014,https://whois.nic.gea/,"GEA Group Aktiengesellschaft;Peter-Mueller-Str. 12;Duesseldorf, North-Rhine-Westfalia 40468;DE;Tel: +49 211 9136 0;http://www.gea.com"
.gent,2014,https://whois.nic.gent/,"COMBELL NV;Skaldenstraat 121;Gent, BE 9042;BE;Tel: +32 9 296 02 90;Fax: +32 9 218 79 78;Email: info@dotgent.com;www.nic.gent"
.genting,2015,https://whois.nic.genting/,"Resorts World Inc Pte. Ltd.;9 Penang Road #13-10 Park Mall;Singapore, Singapore 238459;SG;Tel: +65 6823 9106;Fax: +65 6720 0866;Email: ngtld-genting@cscinfo.com;http://www.genting.com"
.george,2015,https://whois.nic.george/,"Wal-Mart Stores, Inc.;702 Southwest 8th Street;Bentonville, Arkansas 72716;US;Tel: 479 273 4505;Fax: 479 277 5991;Email: walmartregistries@fairwindspartners.com;http://www.walmartstores.com"
.ggee,2014,https://whois.nic.ggee/,"GMO Internet, Inc.;Cerulean Tower;Shibuya-ku, Tokyo 150-8512;JP;Tel: +81354562555;www.gmo.jp/en"
.gift,2013,https://whois.nic.gift/,"Uniregistry, Corp.;DotGift, LLC;Governors Square, Unit 3-110, 23 Lime Tree Bay Avenue, PO Box 1361;George Town, Grand Cayman, KY KY1-1108;KY;Tel: 13457496263;http://www.uniregistry.com/"
.gifts,2014,http://whois.nic.gifts/,"Goose Sky, LLC;Goose Sky, LLC (Donuts Inc.);10500 NE 8th Street, Suite 1450;Bellevue, WA 98004;US;Tel: +1 424 254 8537;Fax: +1 425 671 0020;Email: info@donuts.email;http://www.donuts.domains"
.gives,2014,https://whois.nic.gives/,"United TLD Holdco Ltd.;United TLD Holdco Ltd.;One Clarendon row;Dublin, 2;IE;Tel: 00353 1 9012188;Fax: 00353 1 9012199;Email: publiccontact@rightside.co;http://www.rightside.co"
.giving,2014,https://whois.nic.giving/,"Giving Limited;JustGiving, 2nd Floor, Blue Fin Building, 110 Southwark St;London, London SE1 0TA;GB;Tel: +442070670999;Fax: +442070670901;Email: gtldadmin@justgiving.com;http://www.nic.giving"
